"lemma","word","kjv_def","strongs_def","derivation"
"G205","ἀκροθίνιον","spoils"," properly (in the plural) the top of the heap, i.e. (by implication) best of the booty","from G206 (ἄκρον) and (a heap);"
"G796","ἀστραπή","lightning, bright shining"," lightning; by analogy, glare","from G797 (ἀστράπτω);"
"G2578","κάμπτω","bow"," to bend","apparently a primary verb;"
"G595","ἀπόθεσις","putting away (off)"," a laying aside (literally or figuratively)","from G659 (ἀποτίθημι);"
"G4291","προΐστημι","maintain, be over, rule"," to stand before, i.e. (in rank) to preside, or (by implication) to practise","from G4253 (πρό) and G2476 (ἵστημι);"
"G3101","μαθητής","disciple"," a learner, i.e. pupil","from G3129 (μανθάνω);"
"G3448","μόσχος","calf"," a young bullock","probably strengthened for (a shoot);"
"G827","αὐγή","break of day"," a ray of light, i.e. (by implication) radiance, dawn","of uncertain derivation;"
"G5286","ὑποπόδιον","footstool"," something under the feet, i.e. a foot-rest (figuratively)","neuter of a compound of G5259 (ὑπό) and G4228 (πούς);"
"G1407","δρέπανον","sickle"," a gathering hook (especially for harvesting)","from (to pluck);"
"G3691","ὀξύς","sharp, swift"," keen; by analogy, rapid","probably akin to the base of G188 (ἀκμήν) (""acid"");"
"G1228","διάβολος","false accuser, devil, slanderer"," a traducer; specially, Satan (compare H07854)","from G1225 (διαβάλλω);"
"G3041","λίμνη","lake"," a pond (large or small)","probably from G3040 (λιμήν) (through the idea of nearness of shore);"
"G1976","ἐπιῤῥάπτω","sew on"," to stitch upon, i.e. fasten with the needle","from G1909 (ἐπί) and the base of G4476 (ῥαφίς);"
"G2398","ἴδιος","X his acquaintance, when they were alone, apart, aside, due, his (own, proper, several), home, (her, our, thine, your) own (business), private(-ly), proper, severally, their (own)"," pertaining to self, i.e. one's own; by implication, private or separate","of uncertain affinity;"
"G2534","καίγε","and, at least"," and at least (or even, indeed)","from G2532 (καί) and G1065 (γέ);"
"G5391","φιλόφρων","courteous"," friendly of mind, i.e. kind","from G5384 (φίλος) and G5424 (φρήν);"
"G1329","διερμηνεύω","expound, interpret(-ation)"," to explain thoroughly, by implication, to translate","from G1223 (διά) and G2059 (ἑρμηνεύω);"
"G4890","συνδρομή","run together"," a running together, i.e. (riotous) concourse","from (the alternate of) G4936 (συντρέχω);"
"G2733","κατοικία","habitation","residence (properly, the condition; but by implication, the abode itself)"
"G1761","ἐνθύμησις","device, thought"," deliberation","from G1760 (ἐνθυμέομαι);"
"G295","Ἀμφίπολις","Amphipolis"," a city surrounded by a river; Amphipolis, a place in Macedonia","from the base of G297 (ἀμφότερος) and G4172 (πόλις);"
"G4319","προσαιτέω","beg"," to ask repeatedly (importune), i.e. solicit","from G4314 (πρός) and G154 (αἰτέω);"
"G4628","σκέλος","leg"," through the idea of leanness); the leg (as lank)","apparently from (to parch;"
"G795","ἀστοχέω","err, swerve"," to miss the mark, i.e. (figuratively) deviate from truth","from a compound of G1 (Α) (as a negative particle) and (an aim);"
"G2978","λαῖλαψ","storm, tempest"," a whirlwind (squall)","of uncertain derivation;"
"G135","αἴνιγμα","X darkly"," an obscure saying (""enigma""), i.e. (abstractly) obscureness","from a derivative of G136 (αἶνος) (in its primary sense);"
"G4739","στήκω","stand (fast)"," to be stationary, i.e. (figuratively) to persevere","from the perfect tense of G2476 (ἵστημι);"
"G605","ἀποκατάστασις","restitution"," reconstitution","from G600 (ἀποκαθίστημι);"
"G785","ἀσπίς","asp"," a buckler (or round shield); used of a serpent (as coiling itself), probably the ""asp""","of uncertain derivation;"
"G74","ἀγωνία","agony"," a struggle (properly, the state), i.e. (figuratively) anguish","from G73 (ἀγών);"
"G1910","ἐπιβαίνω","come (into), enter into, go abroad, sit upon, take ship"," to walk upon, i.e. mount, ascend, embark, arrive","from G1909 (ἐπί) and the base of G939 (βάσις);"
"G3006","λεῖος","smooth"," smooth, i.e. ""level""","apparently a primary word;"
"G2509","καθάπερ","(even, as well) as"," exactly as","from G2505 (καθά) and G4007 (περ);"
"G4863","συνάγω","+ accompany, assemble (selves, together), bestow, come together, gather (selves together, up, together), lead into, resort, take in"," to lead together, i.e. collect or convene; specially, to entertain (hospitably)","from G4862 (σύν) and G71 (ἄγω);"
"G5132","τράπεζα","bank, meat, table"," a table or stool (as being four-legged), usually for food (figuratively, a meal); also a counter for money (figuratively, a broker's office for loans at interest)","probably contracted from G5064 (τέσσαρες) and G3979 (πεζῇ);"
"G1053","Γαλατία","Galatia"," Galatia, a region of Asia","of foreign origin;"
"G3619","οἰκοδομή","building, edify(-ication, -ing)"," architecture, i.e. (concretely) a structure; figuratively, confirmation","feminine (abstract) of a compound of G3624 (οἶκος) and the base of G1430 (δῶμα);"
"G1502","εἴκω","give place"," properly, to be weak, i.e. yield","apparently a primary verb;"
"G3090","Λωΐς","Lois"," Lois, a Christian woman","of uncertain origin;"
"G3190","Μελεᾶς","Meleas"," Meleas, an Israelite","of uncertain origin;"
"G403","ἀνάψυξις","revival"," properly, a recovery of breath, i.e. (figuratively) revival","from G404 (ἀναψύχω);"
"G5424","φρήν","understanding"," the midrif (as a partition of the body), i.e. (figuratively and by implication, of sympathy) the feelings (or sensitive nature; by extension (also in the plural) the mind or cognitive faculties)","probably from an obsolete (to rein in or curb; compare G5420 (φράσσω));"
"G2644","καταλλάσσω","reconcile"," to change mutually, i.e. (figuratively) to compound a difference","from G2596 (κατά) and G236 (ἀλλάσσω);"
"G2994","Λαοδικεύς","Laodicean"," a Laodicean, i.e. inhabitant of Laodicia","from G2993 (Λαοδίκεια);"
"G31","ἀγγελία","message"," an announcement, i.e. (by implication) precept","from G32 (ἄγγελος);"
"G4569","Σαῦλος","Saul"," Saulus (i.e. Shaul), the Jewish name of Paul","of Hebrew origin, the same as G4549 (Σαούλ);"
"G4112","πλαστός","feigned"," moulded, i.e. (by implication) artificial or (figuratively) fictitious (false)","from G4111 (πλάσσω);"
"G3556","νοσσίον","chicken"," a birdling","diminutive of G3502 (νεοσσός);"
"G3181","μεθόριος","border"," bounded alongside, i.e. contiguous (neuter plural as noun, frontier)","from G3326 (μετά) and G3725 (ὅριον);"
"G4667","Σμύρνα","Smyrna"," Smyrna, a place in Asia Minor","the same as G4666 (σμύρνα);"
"G2135","εὐνοῦχος","eunuch"," a castrated person (such being employed in Oriental bed-chambers); by extension an impotent or unmarried man; by implication, a chamberlain (state-officer)","from (a bed) and G2192 (ἔχω);"
"G2882","Κόρινθος","Corinth"," Corinthus, a city of Greece","of uncertain derivation;"
"G2145","εὐπρόσεδρος","X attend upon"," sitting well towards, i.e. (figuratively) assiduous (neuter, diligent service)","from G2095 (εὖ) and the same as G4332 (προσεδρεύω);"
"G55","ἁγνῶς","sincerely"," purely, i.e. honestly","adverb from G53 (ἁγνός);"
"G1029","βρόχος","snare"," a noose","of uncertain derivation;"
"G3383","μήτε","neither, (n-)or, so as much"," not too, i.e. (in continued negation) neither or nor; also, not even","from G3361 (μή) and G5037 (τέ);"
"G5412","φορτίζω","lade, by heavy laden"," to load up (properly, as a vessel or animal), i.e. (figuratively) to overburden with ceremony (or spiritual anxiety)","from G5414 (φόρτος);"
"G1590","ἐκλύω","faint"," to relax (literally or figuratively)","from G1537 (ἐκ) and G3089 (λύω);"
"G3199","μέλω","(take) care"," to be of interest to, i.e. to concern (only third person singular present indicative used impersonally, it matters)","a primary verb;"
"G5217","ὑπάγω","depart, get hence, go (a-)way"," to lead (oneself) under, i.e. withdraw or retire (as if sinking out of sight), literally or figuratively","from G5259 (ὑπό) and G71 (ἄγω);"
"G4597","σής","moth"," a moth","apparently of Hebrew origin (H05580);"
"G4340","πρόσκαιρος","dur-(eth) for awhile, endure for a time, for a season, temporal"," for the occasion only, i.e. temporary","from G4314 (πρός) and G2540 (καιρός);"
"G5397","φλύαρος","tattler"," a garrulous person, i.e. prater","from (to bubble);"
"G1537","ἐκ","after, among, X are, at, betwixt(-yond), by (the means of), exceedingly, (+ abundantly above), for(- th), from (among, forth, up), + grudgingly, + heartily, X heavenly, X hereby, + very highly, in, …ly, (because, by reason) of, off (from), on, out among (from, of), over, since, X thenceforth, through, X unto, X vehemently, with(-out)"," literal or figurative; direct or remote)","a primary preposition denoting origin (the point whence action or motion proceeds), from, out (of place, time, or cause;"
"G5150","τρίμηνον","three months"," a three months' space","neuter of a compound of G5140 (τρεῖς) and G3376 (μήν) as noun;"
"G1015","βουνός","hill"," a hillock","probably of foreign origin;"
"G145","αἰσθητήριον","senses"," properly, an organ of perception, i.e. (figuratively) judgment","from a derivative of G143 (αἰσθάνομαι);"
"G2350","θορυβέω","make ado (a noise), trouble self, set on an uproar"," to be in tumult, i.e. disturb, clamor","from G2351 (θόρυβος);"
"G3088","λύχνος","candle, light"," a portable lamp or other illuminator (literally or figuratively)","from the base of G3022 (λευκός);"
"G5086","Τιβέριος","Tiberius"," probably pertaining to the river Tiberis or Tiber; Tiberius, a Roman emperor","of Latin origin;"
"G1035","βρῶσις","eating, food, meat"," (abstractly) eating (literally or figuratively); by extension (concretely) food (literally or figuratively)","from the base of G977 (βιβρώσκω);"
"G4926","συνομιλέω","talk with"," to converse mutually","from G4862 (σύν) and G3656 (ὁμιλέω);"
"G3740","ὁσάκις","as oft(-en) as"," how (i.e. with G302 (ἄν), so) many times as","multiple adverb from G3739 (ὅς);"
"G1142","δαίμων","devil"," a dæmon or supernatural spirit (of a bad nature)","from (to distribute fortunes);"
"G5571","ψευδής","false, liar"," untrue, i.e. erroneous, deceitful, wicked","from G5574 (ψεύδομαι);"
"G1170","δεῖνα","such a man"," so and so (when the person is not specified)","probably from the same as G1171 (δεινῶς) (through the idea of forgetting the name as fearful, i.e. strange);"
"G5327","φάραγξ","valley"," a gap or chasm, i.e. ravine (winter-torrent)","properly, strengthened from the base of G4008 (πέραν) or rather of G4486 (ῥήγνυμι);"
"G1411","δύναμις","ability, abundance, meaning, might(-ily, -y, -y deed), (worker of) miracle(-s), power, strength, violence, mighty (wonderful) work"," force (literally or figuratively); specially, miraculous power (usually by implication, a miracle itself)","from G1410 (δύναμαι);"
"G4051","περίσσευμα","abundance, that was left, over and above"," a surplus, or superabundance","from G4052 (περισσεύω);"
"G2867","κονιάω","whiten"," by analogy, lime); to whitewash","from (dust;"
"G2521","κάθημαι","dwell, sit (by, down)"," and (to sit; akin to the base of G1476 (ἑδραῖος)); to sit down; figuratively, to remain, reside","from G2596 (κατά);"
"G2665","καταπέτασμα","vail"," something spread thoroughly, i.e. (specially) the door screen (to the Most Holy Place) in the Jewish Temple","from a compound of G2596 (κατά) and a congener of G4072 (πέτομαι);"
"G986","Βλάστος","Blastus"," Blastus, an officer of Herod Agrippa","perhaps the same as the base of G985 (βλαστάνω);"
"G5484","χάριν","be-(for) cause of, for sake of, +…fore, X reproachfully"," through favor of, i.e. on account of","accusative case of G5485 (χάρις) as preposition;"
